Name,Location,category,Cuisine_offered,cost_for_two,is_vegeterian,is_bar_available,offers_dining,avg_din_rate
Chotiwala Restaurant,Bani Park,Casual Dining ,"North Indian, South Indian",500,yes,no,yes,3.6
Choudhary Annapurna Bhojanalaya,Khatipura Road,Bhojanalya ,North Indian,350,yes,no,yes,4.0
Choudhary Hotel,Sikar Road,Quick Bites ,"North Indian, Rajasthani",250,yes,no,yes,3.0
Chow Tao By White Kitchens,Lal Kothi,Quick Bites ,"Momos, Chinese",500,no,no,yes,3.7
Chowk,Malviya Nagar,Casual Dining ,North Indian,"1,200",yes,no,yes,4.5
Chulha,Khatipura Road,Quick Bites ,"North Indian, Chinese, Fast Food",850,no,no,yes,3.0
Churma Walaz,Chitrakoot,Quick Bites ,Rajasthani,200,yes,no,yes,3.6
City Heights,Malviya Nagar,Casual Dining ,"North Indian, Continental, Italian, Chinese, Mexican",900,yes,no,yes,4.6
Classic 7 Restaurant,Ajmer Highway,Casual Dining ,"North Indian, Chinese",500,yes,no,yes,3.6
Classic Restaurant,Chitrakoot,Bhojanalya ,"North Indian, South Indian, Fast Food, Beverages",350,no,no,yes,3.8
Club Patio,Mansarovar,"Casual Dining, Bar ","North Indian, Fast Food, Finger Food","1,000",no,yes,yes,3.5
CM Bakers & Cafe,Sanganer,"CAFÉ, Bakery ","Cafe, Bakery",600,yes,no,yes,3.6
CNF - Cheese & Fries,Vaishali Nagar,Kiosk ,"Fast Food, Beverages",400,yes,no,yes,4.3
Coal Quilla,Durgapura,CAFÉ ,Cafe,500,yes,no,yes,3.3
Coconut Restaurant by Tipsy,Shastri Nagar,Casual Dining ,"North Indian, Chinese, Italian",800,yes,no,yes,3.8
Coffee Bar,Malviya Nagar,CAFÉ ,"Cafe, Fast Food, Beverages",250,no,no,yes,3.7
Coffee Break,Vaishali Nagar,CAFÉ ,"Cafe, Fast Food, Beverages","1,100",yes,no,yes,4.1
Coffee King Statue Circle,Chitrakoot,CAFÉ ,"Cafe, Beverages",300,yes,no,yes,3.7
Color Jar By The Livin,Shastri Nagar,Casual Dining ,"Chinese, North Indian, Fast Food",700,yes,no,yes,3.6
Cook Studio,C Scheme,Casual Dining ,"North Indian, Mughlai, Fast Food",500,yes,no,yes,3.8
Corner House,C Scheme,"Casual Dining, CAFÉ ","North Indian, Chinese, Italian, Beverages, Ice Cream","1,200",no,no,yes,4.1
Cosmos - Cafe n Lounge,Lal Kothi,CAFÉ ,"Cafe, Fast Food",600,yes,no,yes,2.9
Cosmos Jaipur,Raja Park,CAFÉ ,Cafe,400,yes,no,yes,4.1
Cosmos Jaipur,Mansarovar,CAFÉ ,"Cafe, Fast Food",500,yes,no,yes,4.0
Crazy Coffee,C Scheme,CAFÉ ,"Cafe, Fast Food",400,yes,no,yes,4.4
Crazy Coffee,Jawahar Nagar,CAFÉ ,Cafe,400,yes,no,yes,4.0
Crazy Coffee,Malviya Nagar,CAFÉ ,"Cafe, Continental, Beverages",500,yes,no,yes,4.0
Crazy Fast Food Center,Mansarovar,Quick Bites ,Fast Food,250,yes,no,yes,3.4
Culture,C Scheme,"CAFÉ, Casual Dining ","Cafe, Italian, Chinese, North Indian","1,200",yes,no,yes,3.9
Cum N Taste,Pratap Nagar,Quick Bites ,Chinese,300,no,no,yes,3.6
D 88 Restaurant,Bais Godam,Quick Bites ,North Indian,400,no,no,yes,2.5
Daabri Cafe House,Malviya Nagar,Quick Bites ,"Fast Food, Beverages",300,yes,no,yes,3.4
Daal Makhani's Amritsari Dhaba,Mansarovar,Quick Bites ,"North Indian, Chinese",350,yes,no,yes,3.4
Dad's Tea Retreat,Malviya Nagar,"Beverage Shop, Quick Bites ","Fast Food, Tea, Beverages",300,yes,no,yes,3.4
Dal Bati Churma Restaurant,Bani Park,Casual Dining ,"North Indian, Rajasthani",500,yes,no,yes,3.8
Dana Pani,Vidhyadhar Nagar,Casual Dining ,"North Indian, South Indian, Chinese, Beverages",700,yes,no,yes,3.5
Dana Pani Elite,Malviya Nagar,Casual Dining ,"North Indian, South Indian","1,100",yes,no,yes,4.0
Dasaprakash,MI Road,Casual Dining ,South Indian,"1,000",yes,no,yes,4.3
Dawat -E- Lucknow,Vaishali Nagar,Casual Dining ,"Mughlai, Lucknowi, North Indian, Biryani, Beverages",600,no,no,yes,3.7
DaYra,Malviya Nagar,Quick Bites ,North Indian,300,no,no,yes,3.2
DCT Tadka,Malviya Nagar,Quick Bites ,"North Indian, Chinese, Fast Food, Beverages",850,no,no,yes,4.0
De Thali,Mansarovar,Casual Dining ,"North Indian, Biryani",550,yes,no,yes,4.2
Decked Up By Garden Cafe,Vaishali Nagar,"CAFÉ, Casual Dining ","Cafe, Fast Food, North Indian, South Indian, Italian, Continental","1,200",yes,no,yes,4.4
Deep Dhaba,Sindhi Camp,Dhaba ,North Indian,450,no,no,yes,3.6
Deepak Sharma Hotel,Malviya Nagar,Quick Bites ,North Indian,200,yes,no,yes,3.2
Dejavu Cafe and Kitchen,Jagatpura,CAFÉ ,"Cafe, Chinese",600,yes,no,yes,4.1
Delta Chat & Food,C Scheme,Quick Bites ,"North Indian, Fast Food, Beverages",400,yes,no,yes,3.5
Desi Bistro,Pratap Nagar,Quick Bites ,"Fast Food, Chinese",300,yes,no,yes,4.1
Desi Dhaba.Com,Malviya Nagar,Quick Bites ,North Indian,300,no,no,yes,2.6
Desi Junction,Shyam Nagar,Quick Bites ,"Street Food, North Indian",150,yes,no,yes,3.1
Desi Thath Bhojnalaya,Jhotwara,Casual Dining ,North Indian,500,yes,no,yes,3.7
Desi Thath Dhaba,Jhotwara,Quick Bites ,"North Indian, Fast Food, Beverages",500,yes,no,yes,3.7
Dev Hotel,MI Road,Quick Bites ,"North Indian, Chinese",500,no,no,yes,3.8
Dev Tadka Dhaba,Raja Park,Quick Bites ,"North Indian, Chinese, Rajasthani",300,yes,no,yes,3.5
Devashish Fast Food,Jawahar Nagar,Quick Bites ,"Fast Food, Street Food",200,no,no,yes,3.7
D'good Cafe,Bani Park,Quick Bites ,"Continental, Fast Food, North Indian, Beverages",800,yes,no,yes,2.7
Dhaba 99,Malviya Nagar,Dhaba ,"North Indian, Chinese, Fast Food",650,yes,no,yes,3.0
Dhaba Express,Mansarovar,Dhaba ,North Indian,450,yes,no,yes,3.7
Dhaba Express,Pratap Nagar,Quick Bites ,North Indian,500,no,no,yes,2.9
Dhaba Kulture,Vaishali Nagar,Casual Dining ,"North Indian, Chinese, Fast Food, Beverages",600,yes,no,yes,4.1
Dhanna's Veg Restaurant,Sanganer,Casual Dining ,"North Indian, South Indian",550,yes,no,yes,2.7
Dhola Maru Non Veg,Tonk Road,Quick Bites ,North Indian,400,no,no,yes,3.4
Dilli Flakes Restro,Mansarovar,Quick Bites ,"North Indian, Fast Food, Chinese, Street Food, Rajasthani, Mughlai",700,no,no,yes,3.4
D'minions Cafe,Tonk Phatak,Quick Bites ,"Fast Food, Pizza, Beverages",400,yes,no,yes,3.4
Domino's Pizza,C Scheme,Quick Bites ,"Pizza, Fast Food",700,no,no,yes,3.4
Doorbeen Restaurant,Tonk Road,Casual Dining ,"Italian, North Indian, Mexican",850,yes,no,yes,4.1
Dosa Affair,Vaishali Nagar,Quick Bites ,"South Indian, Fast Food",300,yes,no,yes,3.9
Dosa Point,Mansarovar,Quick Bites ,South Indian,200,yes,no,yes,4.0
Doughmato,Malviya Nagar,Quick Bites ,"Pizza, Fast Food",500,yes,no,yes,3.5
Down To Earth Cafe,Jagatpura,Quick Bites ,"Chinese, Pizza, Burger",400,no,no,yes,2.8
Down Town,Malviya Nagar,CAFÉ ,"Cafe, Chinese, North Indian",600,no,no,yes,3.3
DP3 Fast Food and Bhojnalya,Mansarovar,Quick Bites ,"North Indian, Chinese",300,yes,no,yes,3.6
Dragon Hut,Gopalbari,Casual Dining ,"Chinese, Thai, Momos, Seafood","1,100",no,no,yes,3.0
Dream Bean Cafe,Mansarovar,Quick Bites ,"North Indian, Chinese, Beverages",350,no,no,yes,3.4
Durgadas Chaat Bhandar,Adarsh Nagar,Quick Bites ,Street Food,150,yes,no,yes,4.0
Dzurt Patisserie and Cafe,Civil Lines,"CAFÉ, Bakery ","Cafe, Bakery",600,no,no,yes,4.3
Eat Punjab,Sodala,Casual Dining ,North Indian,800,no,no,yes,3.4
Eatology,Jawahar Nagar,Quick Bites ,North Indian,300,no,no,yes,3.7
Eats And Treat Cafe,Sikar Road,Quick Bites ,"Fast Food, Pizza, Beverages",300,yes,no,yes,3.5
Eats And Treats,Jhotwara,Quick Bites ,"South Indian, Chinese, Fast Food",300,yes,no,yes,3.4
Eden Restaurant,Agra Road,Casual Dining ,"Fast Food, North Indian",450,no,no,yes,2.7
Egg Dee Sanjay Omelette,Vaishali Nagar,Quick Bites ,"Fast Food, North Indian, Rolls",500,no,no,yes,3.5
Egg Fort,Gopalpura,Quick Bites ,"North Indian, Fast Food",200,no,no,yes,3.8
Egg Junction,Vidhyadhar Nagar,Quick Bites ,"North Indian, Fast Food",500,no,no,yes,3.5
Egg Spicy,Tonk Phatak,Quick Bites ,"Fast Food, Pizza, North Indian",150,no,no,yes,3.2
Egg World,Raja Park,Quick Bites ,"Fast Food, Rajasthani",300,no,no,yes,3.5
Ek Cup Chai,Gopalpura,Quick Bites ,"North Indian, Street Food, South Indian, Chinese, Beverages",250,yes,no,yes,3.4
ELITE Lounge & Kitchen,Pratap Nagar,"Casual Dining, Lounge ","North Indian, Mughlai, Fast Food",700,no,no,yes,3.7
Emerald Dining,Sitapur,Casual Dining ,"North Indian, Chinese",500,yes,no,yes,3.6
English Vinglish,Gopalpura,Bakery ,"Desserts, Bakery",350,yes,no,yes,2.8
Evershine Kerala Restaurant,Sodala,Quick Bites ,Kerala,250,no,no,yes,3.6
Farm Fresh - The Byke Grassfield Resort,Shyam Nagar,Casual Dining ,"North Indian, Continental, Chinese",750,yes,no,yes,3.8
Fastpizza,Jagatpura,Quick Bites ,Fast Food,300,yes,no,yes,3.3
Fat Guyy PÃ¢tisserie,Sodala,Bakery ,Bakery,300,no,no,yes,4.9
Fat Lulu's,C Scheme,Casual Dining ,"Continental, Italian, Burger, Pizza, Beverages","1,300",no,no,yes,4.4
Fauji Ki Chaupal,Jawahar Nagar,Quick Bites ,"Fast Food, Chinese",300,yes,no,yes,3.4
FBI,Mansarovar,Quick Bites ,Fast Food,300,yes,no,yes,3.8
Firdous Hotel & Restaurant,Adarsh Nagar,Quick Bites ,Mughlai,600,no,no,yes,3.5
Firewood,Bapu Nagar,Casual Dining ,"North Indian, Italian, Chinese, South Indian, Beverages",800,no,no,yes,4.1
Firoz Non-Veg,Sanganer,Quick Bites ,North Indian,500,no,no,yes,3.5
Firoz Non-Veg Takeaway,Pratap Nagar,Quick Bites ,North Indian,400,no,no,yes,3.8
Fit Meal Kitchen,Raja Park,Quick Bites ,"Healthy Food, Salad, Juices, Continental",400,no,no,yes,3.9
Fit Meal Kitchen,Malviya Nagar,Casual Dining ,"Healthy Food, Salad, Juices, Continental",400,no,no,yes,3.8
Flame Up,Shyam Nagar,Casual Dining ,"North Indian, Mughlai, Chinese",900,no,no,yes,3.5
FlapJack,Vaishali Nagar,CAFÉ ,"Cafe, Fast Food, North Indian, Chinese, Italian, Continental",600,no,no,yes,3.7
Flashback,Mansarovar,Quick Bites ,"South Indian, Chinese, Fast Food",300,yes,no,yes,3.2
Flavors,Malviya Nagar,Food Court ,"Fast Food, North Indian, Chinese, South Indian, Street Food, Ice Cream, Beverages",500,yes,no,yes,3.9
Food Bite,Shastri Nagar,Quick Bites ,"Fast Food, North Indian, Street Food, Chinese",600,yes,no,yes,4.0
Food Embassy,Vaishali Nagar,Quick Bites ,"Fast Food, North Indian",250,yes,no,yes,3.4
Food Factory,Jagatpura,Quick Bites ,"North Indian, Chinese, Mughlai",550,no,no,yes,3.0
Food Forever,Jagatpura,Quick Bites ,North Indian,350,no,no,yes,3.4
Food Fundayz,Jhotwara,Food Court ,"South Indian, North Indian, Chinese, Street Food",600,yes,no,yes,3.4
Food Stock Exchange,Gopalpura,Casual Dining ,"North Indian, Italian, Continental",600,yes,no,yes,4.0
Foodbarry Cafe & Fast Food,Pratap Nagar,Quick Bites ,"Fast Food, Chinese, Italian",400,yes,no,yes,3.4
Fooddash,Sodala,Quick Bites ,"Fast Food, Chinese, South Indian",300,no,no,yes,3.7
Foodflix Restaurant,Pratap Nagar,Quick Bites ,"North Indian, Chinese",550,no,no,yes,3.9
Foodies Studio,Malviya Nagar,Quick Bites ,"North Indian, Fast Food, Chinese, Street Food",600,no,no,yes,3.5
Foodish Adda,Vaishali Nagar,Quick Bites ,Fast Food,250,no,no,yes,3.6
Foodlers,Malviya Nagar,Quick Bites ,"Chinese, North Indian, Fast Food",400,yes,no,yes,2.8
Foodwalaz,Raja Park,Quick Bites ,"North Indian, Fast Food",400,no,no,yes,3.5
Fork U,Mansarovar,Quick Bites ,"Fast Food, Chinese, North Indian",400,no,no,yes,2.9
French Bakers,Malviya Nagar,"Bakery, CAFÉ ","Bakery, Cafe, Desserts",500,yes,no,yes,3.7
Fresca,Malviya Nagar,Quick Bites ,"Continental, Italian, North Indian, Beverages","1,000",no,no,yes,4.1
Freshmeals,MI Road,Quick Bites ,"Fast Food, Italian, Beverages",400,yes,no,yes,3.6
FRIEDISTHAN,Raja Park,Quick Bites ,"Fast Food, Chinese, Beverages",500,no,no,yes,4.1
Friedisthan,Vaishali Nagar,Quick Bites ,"Fast Food, Wraps, Desserts, Beverages",450,no,no,yes,3.8
Friend's Bakery & Confectioner's,Vidhyadhar Nagar,"Quick Bites, Bakery ","Fast Food, Chinese, Bakery",400,yes,no,yes,3.7
Friends Cafe,Malviya Nagar,Quick Bites ,"North Indian, Chinese, Italian, Mexican, Fast Food",800,no,no,yes,3.5
Friends Restro,Shastri Nagar,Quick Bites ,"North Indian, Chinese, Beverages, Fast Food",450,yes,no,yes,3.4
Frozen Temptation,Vaishali Nagar,Dessert Parlor ,"Ice Cream, Desserts",250,yes,no,yes,3.7
Frumart Fitness Box,Malviya Nagar,Quick Bites ,"Beverages, Healthy Food, Fast Food",350,no,no,yes,3.5
Fu-Del,MI Road,Quick Bites ,"North Indian, Fast Food, Street Food, Beverages",350,yes,no,yes,3.6
Fudo,Malviya Nagar,Quick Bites ,"Fast Food, Beverages",450,yes,no,yes,3.5
Fumo Express,Shyam Nagar,Quick Bites ,"Pizza, Fast Food",400,yes,no,yes,2.8
Funday,Ajmer Highway,Quick Bites ,Fast Food,250,yes,no,yes,3.1
Funduz,Shastri Nagar,CAFÉ ,"Fast Food, Beverages",400,no,no,yes,3.8
Fusion Health Food,Mansarovar,Quick Bites ,"Healthy Food, North Indian, Fast Food",400,yes,no,yes,3.8
Fusion Lassi,Sodala,Beverage Shop ,Beverages,200,no,no,yes,3.7
Gaja Kesari Sweets,Raja Park,"Sweet Shop, Quick Bites ","Mithai, Rajasthani, Street Food",300,no,no,yes,3.3
Gaja Kesari Sweets,Sanganer,"Sweet Shop, Quick Bites ","Mithai, Rajasthani, Street Food",300,yes,no,yes,3.7
Game of Spices,Mansarovar,Casual Dining ,"North Indian, South Indian, Chinese, Biryani",600,no,no,yes,3.7
Ganache,Adarsh Nagar,"Bakery, CAFÉ ","Bakery, Desserts, Cafe",500,yes,no,yes,3.9
Ganesh Bhojnalaya,Lal Kothi,Bhojanalya ,North Indian,200,yes,no,yes,4.1
Ganesh Restaurant,MI Road,Quick Bites ,North Indian,200,yes,no,yes,3.9
Ganesh Tandoori Dhaba,Malviya Nagar,Dhaba ,North Indian,400,yes,no,yes,2.9
Ganesham Rasoi,Pratap Nagar,Dhaba ,"North Indian, Fast Food",250,yes,no,yes,4.0
Garam Masalaa,Khatipura Road,Casual Dining ,"North Indian, Chinese",700,no,no,yes,3.5
Garden Court Cafe & Restaurant,Jagatpura,Casual Dining ,"North Indian, Chinese, Fast Food",500,yes,no,yes,3.7
Gareeb Nawaaz Hotel,Pink City,Quick Bites ,North Indian,400,no,no,yes,3.5
Gauranga Bakers,Jagatpura,Bakery ,"Bakery, Chinese, North Indian",450,no,no,yes,3.4
Get Desserted,C Scheme,Dessert Parlor ,"Desserts, Ice Cream, Beverages",350,yes,no,yes,3.8
Glocal Tadka Pure Veg,Bani Park,Casual Dining ,"North Indian, Chinese",500,no,no,yes,3.7
Go Amrit,Vaishali Nagar,"Beverage Shop, Quick Bites ","Beverages, Fast Food",300,yes,no,yes,3.3
Go Pure Natural Ice Cream,Gopalpura,Dessert Parlor ,Ice Cream,150,yes,no,yes,4.1
Go Unjunk,Durgapura,Quick Bites ,"Healthy Food, Salad",400,yes,no,yes,4.0
Gohil - Tea Corner,Malviya Nagar,Quick Bites ,"South Indian, Street Food",300,yes,no,yes,3.1
Gohil Dosa Corner,Malviya Nagar,Quick Bites ,South Indian,300,yes,no,yes,2.6
Golden Festa Bakery,Pratap Nagar,Bakery ,"Bakery, Fast Food",200,yes,no,yes,3.2
Goli Vada Pav No. 1,Sikar Road,Quick Bites ,"Street Food, Fast Food",150,yes,no,yes,3.2
Good Bakers,Malviya Nagar,Bakery ,"Bakery, Fast Food, Beverages",200,yes,no,yes,3.0
Good Morning Cafe,Gopalpura,Quick Bites ,"Pizza, Fast Food, Chinese",700,no,no,yes,3.3
Good Morning SA,Vaishali Nagar,Quick Bites ,North Indian,150,yes,no,yes,3.3
GoodDO - The Vegan Kiosk,Raja Park,Quick Bites ,"Fast Food, North Indian",200,yes,no,yes,3.7
Gopal Singh Patasi Bhandar,Adarsh Nagar,Food Court ,Street Food,200,yes,no,yes,3.4
Gopi Kwality Sweets,Raja Park,"Quick Bites, Sweet Shop ","Chinese, South Indian, Fast Food",350,yes,no,yes,3.6
Govindam Retreat,Pink City,Casual Dining ,"North Indian, South Indian, Rajasthani, Fast Food","1,000",yes,no,yes,4.3
Govinda's,Mansarovar,Casual Dining ,"North Indian, Fast Food, South Indian",300,yes,no,yes,3.8
Green Apple,Malviya Nagar,Casual Dining ,"North Indian, Chinese, Italian, Mexican, Continental",700,yes,no,yes,4.0
Green Lagoon,Mansarovar,Casual Dining ,"North Indian, Fast Food","1,000",yes,no,yes,4.0
Green Lemon Restaurant,Khatipura Road,Casual Dining ,"North Indian, Fast Food",500,no,no,yes,3.2
Green Sugar,Shyam Nagar,Casual Dining ,"North Indian, Chinese, Italian",900,yes,no,yes,3.7
Grill & Gravys,Mansarovar,Casual Dining ,"North Indian, Mughlai",400,no,no,yes,3.2
Grill Inn,Jagatpura,Quick Bites ,"Pizza, Burger, Fast Food",400,no,no,yes,3.7
GT's Jaipuri Chatkara,Adarsh Nagar,Quick Bites ,"South Indian, Street Food",300,yes,no,yes,2.6
Gulab Ji Chai,Bani Park,Quick Bites ,"Tea, Beverages, Fast Food",300,yes,no,yes,3.3
Gulab Ji Chai,Adarsh Nagar,Food Court ,"Tea, Street Food",100,yes,no,yes,3.5
Gulabi Nagari,Bani Park,Casual Dining ,"North Indian, Chinese, Beverages","1,400",yes,no,yes,4.4
Gumti Cafe,Durgapura,Casual Dining ,"North Indian, South Indian, Italian",700,no,no,yes,3.6
Gunisha Bakers And Caterers,Pink City,Bakery ,Bakery,250,no,no,yes,3.1
Gunnu Di Gaddi by Hadippa Dhaba,Chitrakoot,Casual Dining ,"North Indian, Chinese, Fast Food","1,100",no,no,yes,3.2
Gup Shup Thikana,Raja Park,Quick Bites ,"Fast Food, Chinese, Beverages",350,yes,no,yes,3.6
Gupta Thali House,Pratap Nagar,Quick Bites ,"North Indian, Rajasthani",300,yes,no,yes,2.6
GVD Soni's Cafe,Malviya Nagar,CAFÉ ,"Cafe, Fast Food, Beverages",450,yes,no,yes,4.2
H#shtag Waale,Vidhyadhar Nagar,Quick Bites ,"Fast Food, South Indian, Chinese, Beverages",200,yes,no,yes,3.3
Habits Cafe,Sindhi Camp,"Quick Bites, Fine Dining ","Fast Food, North Indian, Chinese, Beverages",250,no,no,yes,3.7
Habitz,Malviya Nagar,Dessert Parlor ,"Ice Cream, Beverages",250,no,no,yes,3.9
Habitz,Raja Park,Dessert Parlor ,"Ice Cream, Desserts, Beverages",250,yes,no,yes,3.7
Habitz,Durgapura,Dessert Parlor ,"Ice Cream, Beverages",250,yes,no,yes,3.6
Halka Fulka Cafe,Tonk Road,Quick Bites ,"Fast Food, Beverages",150,yes,no,yes,2.7
Handi Fusion,MI Road,Casual Dining ,"North Indian, Italian, Continental, Chinese, BBQ","1,600",no,yes,yes,3.5
Handi Meat,Jhotwara,Quick Bites ,North Indian,300,no,no,yes,3.5
Handi Restaurant,MI Road,"Casual Dining, Bar ","North Indian, Mughlai, Kebab","1,300",no,yes,yes,3.8
Handi Restaurant,Vaishali Nagar,Casual Dining ,"North Indian, Chinese, Mughlai, Italian, Beverages","1,700",no,yes,yes,3.9
Hangout CAFÉ,Vaishali Nagar,Quick Bites ,"Burger, Fast Food, Beverages",200,yes,no,yes,3.1
Hanuman Dhaba,Sikar Road,Dhaba ,North Indian,350,no,no,yes,4.1
Hanuman Dhaba,Sanganer,Quick Bites ,North Indian,450,no,no,yes,3.1
Hanuman Sahu Gajak Udyog,Shyam Nagar,Dessert Parlor ,Desserts,150,no,no,yes,3.6
Happy Burgers,Vaishali Nagar,Quick Bites ,"Burger, Fast Food, Beverages",300,yes,no,yes,3.1
Happy Meal Company,Mansarovar,Quick Bites ,North Indian,300,no,no,yes,4.2
Happy Veggie,Sodala,Quick Bites ,"North Indian, South Indian",350,yes,no,yes,3.0
Har Har Mahadev Jai Shankar Pavitra Bhojnalya,Sindhi Camp,Quick Bites ,"North Indian, South Indian",250,yes,no,yes,3.6
Har Har Mahadev Sabziwalaz,Sodala,Quick Bites ,North Indian,350,yes,no,yes,3.8
Hare Krishna Hare Rama,Bais Godam,Dhaba ,"North Indian, Chinese, South Indian",400,yes,no,yes,3.2
Hare Rama Hare Krishna,Lal Kothi,Dhaba ,"North Indian, Chinese, South Indian, Fast Food",350,yes,no,yes,3.5
Hare Rama Hare Krishna,Mansarovar,Quick Bites ,"North Indian, Chinese, South Indian",400,yes,no,yes,3.7
Hariom Falooda And Shake,Pink City,Dessert Parlor ,"Ice Cream, Beverages, Desserts",250,yes,no,yes,3.1
Hariom Restro,Mansarovar,Quick Bites ,North Indian,300,yes,no,yes,3.5
Harishankar Veg Restro,Raja Park,Casual Dining ,"North Indian, South Indian, Chinese",500,yes,no,yes,3.8
Harishankar Veg Restro,Mansarovar,Casual Dining ,"North Indian, South Indian, Chinese",500,yes,no,yes,4.1
Harishankar Veg Restro,Durgapura,Dhaba ,North Indian,300,yes,no,yes,4.1
Harishankar Veg Restro,Sanganer,Quick Bites ,"Chinese, Beverages, Italian, Pizza, Street Food, Sandwich, Burger",350,yes,no,yes,4.1
Harishankar Veg Restro,Pratap Nagar,Casual Dining ,"North Indian, South Indian, Chinese",500,yes,no,yes,4.1
Harishankar Veg Restro,Gopalpura,Quick Bites ,North Indian,200,no,no,yes,3.9
Haveli Kalwara,Pink City,Casual Dining ,"North Indian, Chinese, Mughlai, Fast Food","1,000",no,no,yes,3.4
Hawk View,Pink City,"Bar, Casual Dining ","North Indian, Chinese, Fast Food, Italian",800,no,yes,yes,3.8
Heavens Of China,Malviya Nagar,Quick Bites ,Chinese,300,no,no,yes,3.2
Hello Coffee,Civil Lines,Quick Bites ,"Fast Food, North Indian, Beverages",300,yes,no,yes,3.5
Heritage Buffet,Pink City,Casual Dining ,"North Indian, Chinese, South Indian, Rajasthani, Fast Food",850,yes,no,yes,3.0
Hey Dosa!,Vaishali Nagar,Casual Dining ,"South Indian, Beverages",500,yes,no,yes,3.9
Hey Dosa!,Vidhyadhar Nagar,Quick Bites ,South Indian,400,yes,no,yes,3.9
Hide Out Cafe,Mansarovar,Quick Bites ,"Fast Food, Beverages",350,yes,no,yes,3.8
Hil Pizza,Raja Park,Quick Bites ,"Pizza, Fast Food",500,yes,no,yes,4.0
Hindaun Chat Bhandar,Mansarovar,Quick Bites ,Street Food,100,yes,no,yes,2.8
Home CAFÉ by Mr Beans,C Scheme,CAFÉ ,"Cafe, Continental, Fast Food","1,000",no,no,yes,4.3
Home Meals,Sanganer,Quick Bites ,"North Indian, Fast Food",300,no,no,yes,3.2
Honey Dew Kitchen,Sitapur,Food Court ,"South Indian, Chinese, North Indian",500,no,no,yes,3.0
Hops n Taters,Lal Kothi,Casual Dining ,"Continental, North Indian, Chinese, Italian","1,200",yes,yes,yes,4.3
Hotel Avana,Vaishali Nagar,Casual Dining ,North Indian,550,no,no,yes,3.5
Hotel Bilal Khana Khazana,Vidhyadhar Nagar,Quick Bites ,"North Indian, Mughlai",300,no,no,yes,3.7
Hotel Desert Raaga Restaurant,Sikar Road,Casual Dining ,"North Indian, Fast Food, South Indian",500,yes,no,yes,2.7
Hotel Dharohar Palace,Sindhi Camp,Quick Bites ,"North Indian, Street Food",250,no,no,yes,2.6
Hotel Hamza Palace,Pratap Nagar,Quick Bites ,North Indian,400,no,no,yes,3.5
Hotel Limra,Jhotwara,Quick Bites ,North Indian,350,no,no,yes,3.2
Hotel Marc Inn & Bar,Vaishali Nagar,"Bar, Casual Dining ","Bar Food, North Indian, Chinese",900,no,yes,yes,3.3
Hotel RK Niwas & Restaurant,Pratap Nagar,Quick Bites ,"North Indian, Chinese",400,yes,no,yes,4.0
Hotel Siddharth Residency,Chitrakoot,Casual Dining ,"North Indian, South Indian, Chinese",650,yes,no,yes,3.7
Hotel Taj,Hasanpura,Quick Bites ,"North Indian, Mughlai",400,no,no,yes,3.6
House Of Beans,C Scheme,CAFÉ ,"Cafe, Fast Food",550,yes,no,yes,3.9
House On Fire,Adarsh Nagar,Food Court ,North Indian,600,no,no,yes,3.0
House On Fire,Vaishali Nagar,Casual Dining ,"North Indian, Mughlai",800,no,no,yes,4.2
How Sweet,Lal Kothi,Bakery ,"Bakery, Desserts",250,yes,no,yes,3.8
H-Town Restro & Lounge,Vaishali Nagar,Casual Dining ,"North Indian, Fast Food, Chinese, Beverages",700,no,no,yes,3.0
Hum Tum Cafe & Restaurant,Jhotwara,CAFÉ ,"Cafe, Chinese",400,no,no,yes,3.2
Hunger Planet Veg Restaurant,Mansarovar,Casual Dining ,"Chinese, Fast Food, North Indian",600,yes,no,yes,3.6
Hungry Bites,Lal Kothi,Quick Bites ,Fast Food,300,no,no,yes,3.6
Hungry Gabbar Cafe,Vaishali Nagar,CAFÉ ,"Cafe, Fast Food, Chinese, Street Food, Desserts, Beverages",400,no,no,yes,4.0
Hungry Hut,Pratap Nagar,Quick Bites ,South Indian,200,yes,no,yes,3.3
Hy5 A Multicuisine Veg Restaurant,Mansarovar,Casual Dining ,"North Indian, Fast Food",500,no,no,yes,3.5
Hyderabadi Biryani House,Vaishali Nagar,Quick Bites ,"Biryani, North Indian",250,no,no,yes,3.4
Hyderabadi Dum Biryani,Malviya Nagar,Quick Bites ,"Biryani, Chinese, North Indian",500,no,no,yes,4.1
Hyderabadi Dum Biryani,Adarsh Nagar,Quick Bites ,"Biryani, South Indian, North Indian, Chinese",600,no,no,yes,3.5
Hyderabadi Dum Biryani,Vidhyadhar Nagar,Quick Bites ,"Biryani, South Indian, North Indian, Chinese",600,no,no,yes,3.8
Hyderabadi Dum Biryani,Jagatpura,Quick Bites ,"Biryani, North Indian, South Indian",400,no,no,yes,2.9
Hyderabadi Dum Biryani,Vaishali Nagar,Quick Bites ,"Biryani, Andhra",500,no,no,yes,3.8
Ice Cream Factory & Shahi Durbar,Vaishali Nagar,Dessert Parlor ,"Ice Cream, Desserts, Beverages",300,no,no,yes,3.7
Ice Spice,C Scheme,Casual Dining ,"North Indian, Chinese, South Indian",550,yes,no,yes,3.7
IFC,Mansarovar,Quick Bites ,"Pizza, Fast Food",400,yes,no,yes,3.8
